epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,1280.41,0.71063,0.8579,1.25142,0.79958,0.67975,0.74509,0.46388,1.44698,1.57997,2.0788,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,1294.84,0.66666,0.88386,1.21769,0.76134,0.74183,0.7448,0.46918,1.43203,1.55109,2.07125,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,1309.46,0.69602,0.88877,1.24803,0.8005,0.69618,0.75057,0.46953,1.43769,1.54284,2.06721,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,1323.63,0.68996,0.84876,1.21448,0.77666,0.72326,0.75363,0.47418,1.44298,1.55192,2.07488,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,1337.92,0.7228,0.9116,1.24762,0.78034,0.74496,0.76863,0.47666,1.4313,1.54097,2.07317,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,1352.4,0.68615,0.8628,1.20408,0.80284,0.73304,0.77193,0.47848,1.44742,1.52404,2.08956,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,1368.17,0.70042,0.87106,1.21649,0.80055,0.69859,0.76025,0.48042,1.44337,1.52806,2.10059,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,1382.51,0.6755,0.86909,1.21687,0.80843,0.68833,0.75288,0.47315,1.44949,1.53452,2.10321,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,1396.78,0.68133,0.89441,1.22749,0.81034,0.68499,0.75416,0.46737,1.45615,1.53643,2.09787,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,1449.7,0.70508,1.33201,1.32913,0.80643,0.64995,0.739,0.46157,1.46545,1.56683,2.11167,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,1465.23,0.66745,1.2152,1.32238,0.72029,0.68663,0.72905,0.46504,1.41979,1.59252,2.08567,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,1481.02,0.68109,1.20218,1.35137,0.72946,0.70024,0.73573,0.46942,1.42387,1.60715,2.09001,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,1498.61,0.63857,1.03679,1.30657,0.75225,0.7033,0.74622,0.47048,1.44318,1.59717,2.11129,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,1513.84,0.63316,0.97943,1.28957,0.77316,0.68226,0.74381,0.46527,1.44427,1.58138,2.11964,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,1530.13,0.59062,0.94936,1.24617,0.76846,0.70771,0.75281,0.46499,1.44349,1.55562,2.12098,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,1545.71,0.60309,0.93477,1.24493,0.76845,0.71682,0.75953,0.46433,1.4504,1.5431,2.13057,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,1561.49,0.60201,0.96633,1.2976,0.77802,0.71158,0.76207,0.47158,1.44942,1.53857,2.12641,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,1577.3,0.54682,0.92077,1.20579,0.79792,0.69085,0.7625,0.47489,1.4479,1.53187,2.11871,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,1592.64,0.5915,0.94234,1.24586,0.78659,0.70559,0.76167,0.47563,1.45212,1.53124,2.11934,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
